,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,time,datetime,LST_Day_1km,city,country,lat,lon,pop,LST_Night_1km,year,month,LST_Day,LST_Night
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1388620800000,2014-01-02,12.550000000000011,Tokyo,Japan,35.6897,139.6922,37732000.0,3.1300000000000523,2014,1,12.6,3.1
1,1,1,1,1,1,1,1,1,1,1,1,1,5,1388966400000,2014-01-06,9.77000000000004,Tokyo,Japan,35.6897,139.6922,37732000.0,2.150000000000034,2014,1,9.8,2.2
2,2,2,2,2,2,2,2,2,2,2,2,2,6,1389052800000,2014-01-07,7.890000000000043,Tokyo,Japan,35.6897,139.6922,37732000.0,,2014,1,7.9,
3,3,3,3,3,3,3,3,3,3,3,3,3,7,1389139200000,2014-01-08,11.130000000000052,Tokyo,Japan,35.6897,139.6922,37732000.0,,2014,1,11.1,
4,4,4,4,4,4,4,4,4,4,4,4,4,10,1389398400000,2014-01-11,8.710000000000036,Tokyo,Japan,35.6897,139.6922,37732000.0,-0.1099999999999568,2014,1,8.7,-0.1
5,5,5,5,5,5,5,5,5,5,5,5,5,12,1389571200000,2014-01-13,9.110000000000014,Tokyo,Japan,35.6897,139.6922,37732000.0,1.9700000000000275,2014,1,9.1,2.0
6,6,6,6,6,6,6,6,6,6,6,6,6,15,1389830400000,2014-01-16,9.210000000000036,Tokyo,Japan,35.6897,139.6922,37732000.0,3.330000000000041,2014,1,9.2,3.3
7,7,7,7,7,7,7,7,7,7,7,7,7,17,1390003200000,2014-01-18,9.010000000000048,Tokyo,Japan,35.6897,139.6922,37732000.0,,2014,1,9.0,
8,8,8,8,8,8,8,8,8,8,8,8,8,21,1390348800000,2014-01-22,9.170000000000016,Tokyo,Japan,35.6897,139.6922,37732000.0,,2014,1,9.2,
9,9,9,9,9,9,9,9,9,9,9,9,9,22,1390435200000,2014-01-23,10.07000000000005,Tokyo,Japan,35.6897,139.6922,37732000.0,3.250000000000057,2014,1,10.1,3.3
10,10,10,10,10,10,10,10,10,10,10,10,10,23,1390521600000,2014-01-24,11.210000000000036,Tokyo,Japan,35.6897,139.6922,37732000.0,5.590000000000032,2014,1,11.2,5.6
11,11,11,11,11,11,11,11,11,11,11,11,11,26,1390780800000,2014-01-27,9.250000000000057,Tokyo,Japan,35.6897,139.6922,37732000.0,,2014,1,9.3,
12,12,12,12,12,12,12,12,12,12,12,12,12,28,1390953600000,2014-01-29,12.53000000000003,Tokyo,Japan,35.6897,139.6922,37732000.0,,2014,1,12.5,
13,13,13,13,13,13,13,13,13,13,13,13,13,30,1391126400000,2014-01-31,15.010000000000048,Tokyo,Japan,35.6897,139.6922,37732000.0,5.850000000000023,2014,1,15.0,5.9
14,14,14,14,14,14,14,14,14,14,14,14,14,31,1391212800000,2014-02-01,11.370000000000005,Tokyo,Japan,35.6897,139.6922,37732000.0,,2014,2,11.4,
15,15,15,15,15,15,15,15,15,15,15,15,15,33,1391385600000,2014-02-03,15.57000000000005,Tokyo,Japan,35.6897,139.6922,37732000.0,,2014,2,15.6,
16,16,16,16,16,16,16,16,16,16,16,16,16,35,1391558400000,2014-02-05,6.170000000000016,Tokyo,Japan,35.6897,139.6922,37732000.0,-0.3099999999999454,2014,2,6.2,-0.3
17,17,17,17,17,17,17,17,17,17,17,17,17,39,1391904000000,2014-02-09,3.450000000000045,Tokyo,Japan,35.6897,139.6922,37732000.0,2.510000000000048,2014,2,3.5,2.5
18,18,18,18,18,18,18,18,18,18,18,18,18,46,1392508800000,2014-02-16,5.190000000000055,Tokyo,Japan,35.6897,139.6922,37732000.0,2.930000000000007,2014,2,5.2,2.9
19,19,19,19,19,19,19,19,19,19,19,19,19,47,1392595200000,2014-02-17,11.210000000000036,Tokyo,Japan,35.6897,139.6922,37732000.0,,2014,2,11.2,
20,20,20,20,20,20,20,20,20,20,20,20,20,48,1392681600000,2014-02-18,10.190000000000056,Tokyo,Japan,35.6897,139.6922,37732000.0,,2014,2,10.2,
